comp_id,smiles
CHEMBL1682861,COCc1cccc(CN(CCCCN)C2CCCc3cccnc32)n1
CHEMBL1682862,NCCCCN(Cc1ncccc1O)C1CCCc2cccnc21
CHEMBL1682863,NCCCCN(Cc1ncccc1N)C1CCCc2cccnc21
CHEMBL1682864,CC(C)c1cccnc1CN(CCCCN)C1CCCc2cccnc21
CHEMBL1682865,NCCCCN(Cc1ncccc1CO)C1CCCc2cccnc21
CHEMBL1682866,NCCCCN(Cc1ncccc1Cl)C1CCCc2cccnc21
CHEMBL1682986,Cc1cccnc1CN(CCCCN)C(C)c1ccccn1
CHEMBL1682987,CC(c1ccccn1)N(CCCCN)Cc1ncccc1N
CHEMBL1682988,CC(c1ccccn1)N(CCCCN)Cc1ncccc1C(F)(F)F
CHEMBL1682989,CC(c1ccccn1)N(CCCCN)Cc1ncccc1C(C)(C)C
CHEMBL1682990,Cc1ccc(CN(CCCCN)C(C)c2ccccn2)nc1
CHEMBL1682991,Cc1cccc(CN(CCCCN)C(C)c2ccccn2)n1
CHEMBL1682992,Cc1cnc(CN(CCCCN)C(C)c2ccccn2)c(C)c1
CHEMBL1682993,Cc1ccnc(C(C)N(CCCCN)Cc2ncccc2C)c1
CHEMBL1682994,Cc1cccc(CN(CCCCN)[C@H]2CCCc3cccnc32)n1
CHEMBL1682995,Cc1cnc(CN(CCCCN)[C@H]2CCCc3cccnc32)c(C)c1
CHEMBL1682996,NCCCCN(Cc1ncccc1N)[C@H]1CCCc2cccnc21
CHEMBL1682997,C[C@@H](c1ccccn1)N(CCCCN)Cc1nc2ccccc2[nH]1
CHEMBL1682998,Cc1cccnc1CN(CCCCN)[C@@H](C)c1ccccn1
CHEMBL1802329,CCOCCN1CCN(C(=O)c2cnc(NCc3ccc(CNc4ncc(F)cn4)cc3)nc2C(F)(F)F)CC1
CHEMBL1802333,Fc1cnc(Cl)nc1NCc1ccc(CNc2ccnc(NCCN3CCOCC3)n2)cc1
CHEMBL18442,c1cc(CN2CCCNCCNCCCNCC2)ccc1CN1CCCNCCNCCCNCC1
CHEMBL191639,N=C(N)NCCC(=O)N[C@H]1CSSC[C@H](C(=O)NCCc2ccc(O)cc2)NC(=O)[C@H](Cc2ccc3ccccc3c2)NC(=O)[C@H](CCCN=C(N)N)NC1=O
CHEMBL191687,C[C@H]1NC(=O)[C@@H](Cc2ccc(O)cc2)NC(=O)CNC(=O)[C@H](Cc2ccc3ccccc3c2)NC(=O)[C@H](CCCNC(=N)N)NC1=O
CHEMBL191942,N=C(N)NCCC[C@@H]1NC(=O)[C@@H]2CCCN2C(=O)[C@@H](Cc2ccc(O)cc2)NC(=O)CNC(=O)[C@H](Cc2ccc3ccccc3c2)NC1=O
